,product,measure,month,cost
290,Чай черный байховый,100 гр.,апрель,19.58
291,Вода минеральная,"0,5 л.",апрель,5.11
292,Водка крепостью 40 градусов,"0,5 л.",апрель,33.95
293,Коньяк отечественный,"0,5 л.",апрель,115.63
294,Вино игристое отечественное,"0,7 л.",апрель,91.60
295,Сигареты с фильтром,1 пачка,апрель,21.94
296,Цемент,50 кг,апрель,89.45
297,"Электроэнергия, основной тариф",1 кВт. час,апрель,0.62
298,Природный газ,за 1 человека в месяц,апрель,36.62
299,Сжиженный газ ,1 кг,апрель,13.57
300,Уголь,1 тонна,апрель,1 026.92
301,Бензин автомобильной марки А-92,1 литр,апрель,14.96
302,Бензин автомобильной марки А-80,1 литр,апрель,11.88
303,Дизельное топливо,1 литр,апрель,9.96
304,Рис среднезерный,1 кг,май,23.17
305,Рис длиннозерный,1 кг,май,25.18
306,Мука пшеничная высшего сорта,1 кг,май,12.93
307,Мука пшеничная первого сорта,1 кг,май,9.92
308,Крупа манная,1 кг,май,20.04
309,Пшено,1 кг,май,17.73
310,Хлеб из пшеничной муки 1 сорта,1 кг,май,12.60
311,Лепешка,1 кг,май,13.57
312,Макаронные изделия,1 кг,май,18.88
313,"Вермишель, лапша",1 кг,май,14.88
314,Говядина,1 кг,май,86.58
315,Свинина,1 кг,май,93.43
316,Баранина,1 кг,май,107.69
317,Конина,1 кг,май,87.62
318,Колбаса вареная,1 кг,май,107.14
319,Колбаса полукопченая,1 кг,май,121.49
320,"Сосиски, сардельки",1 кг,май,104.77
321,Рыба свежая и охлажденная,1 кг,май,57.29
322,Рыба замороженная неразделанная,1 кг,май,64.67
323,Сельдь соленая,1 кг,май,71.78
324,"Кефир, айран",1 литр,май,15.21
325,Сметана,1 литр,май,69.81
326,Сливки,1 литр,май,38.96
327,Творог жирный,1 кг,май,44.12
328,Творог нежирный,1 кг,май,21.93
329,Яйца куриные,10 штук,май,25.06
330,Масло сливочное,1 кг,май,142.36
331,Хлопковое масло,1 кг,май,48.41
332,Подсолнечное масло,1 кг,май,57.01
333,Яблоки,1 кг,май,29.90
334,Aбрикосы,1 кг,май,0.00
335,"Клубника, малина",1 кг,май,64.81
336,Вишня,1 кг,май,30.00
337,Виноград свежий,1 кг,май,136.67
338,Aпельсины,1 кг,май,71.72
339,Лимоны,1 кг,май,80.03
340,Дыни,1 кг,май,0.00
341,Aрбузы,1 кг,май,0.00
342,Виноград сушеный,1 кг,май,45.48
343,Яблоки сушеные,1 кг,май,15.64
344,Курага,1 кг,май,54.06
345,Орехи грецкие,1 кг,май,48.86
346,Капуста свежая,1 кг,май,18.86
347,Лук репчатый,1 кг,май,23.91
348,Свекла,1 кг,май,13.13
349,Морковь,1 кг,май,12.69
350,Огурцы свежие,1 кг,май,35.27
351,Тыква,1 кг,май,7.46
352,Лук зеленый,1 кг,май,17.41
353,Помидоры свежие,1 кг,май,43.59
354,"Редиска, редька",1 кг,май,10.35
355,Баклажаны,1 кг,май,0.00
356,Горох,1 кг,май,19.23
357,Чеснок,1 кг,май,37.50
358,Томатная паста,1 кг,май,42.63
359,Картофель,1 кг,май,12.69
360,Сахар-песок,1 кг,май,23.80
361,Мед пчелиный натуральный,1 кг,май,94.56
362,Соль,1 кг,май,4.68
363,Майонез,1 кг,май,78.24
364,Дрожжи,50 гр.,май,8.10
365,Кофе натуральный растворимый,100 гр.,май,61.88
366,Чай черный байховый,100 гр.,май,19.58
367,Вода минеральная,"0,5 л.",май,5.10
368,Водка крепостью 40 градусов,"0,5 л.",май,33.90
369,Коньяк отечественный,"0,5 л.",май,116.30
370,Вино игристое отечественное,"0,7 л.",май,91.60
371,Сигареты с фильтром,1 пачка,май,21.91
372,Цемент,50 кг,май,89.67
373,"Электроэнергия, основной тариф",1 кВт. час,май,0.62
374,Природный газ,за 1 человека в месяц,май,35.79
375,Сжиженный газ ,1 кг,май,15.03
376,Уголь,1 тонна,май,1 011.06
377,Бензин автомобильной марки А-92,1 литр,май,14.20
378,Бензин автомобильной марки А-80,1 литр,май,11.18
379,Дизельное топливо,1 литр,май,9.85
380,Рис среднезерный,1 кг,июнь,23.23
381,Рис длиннозерный,1 кг,июнь,24.99
382,Мука пшеничная высшего сорта,1 кг,июнь,12.98
383,Мука пшеничная первого сорта,1 кг,июнь,9.95
384,Крупа манная,1 кг,июнь,19.84
385,Пшено,1 кг,июнь,18.11
386,Хлеб из пшеничной муки 1 сорта,1 кг,июнь,12.6
387,Лепешка,1 кг,июнь,13.61
388,Макаронные изделия,1 кг,июнь,18.93
389,"Вермишель, лапша",1 кг,июнь,14.85
390,Говядина,1 кг,июнь,86.75
391,Свинина,1 кг,июнь,92.19
392,Баранина,1 кг,июнь,109.04
393,Конина,1 кг,июнь,86.5
394,Колбаса вареная,1 кг,июнь,106.91
395,Колбаса полукопченая,1 кг,июнь,121.45
396,"Сосиски, сардельки",1 кг,июнь,104.72
397,Рыба свежая и охлажденная,1 кг,июнь,54.9
398,Рыба замороженная неразделанная,1 кг,июнь,64.67
399,Сельдь соленая,1 кг,июнь,71.43
400,"Кефир, айран",1 литр,июнь,14.89
401,Сметана,1 литр,июнь,68.5
402,Сливки,1 литр,июнь,37.74
403,Творог жирный,1 кг,июнь,43.69
404,Творог нежирный,1 кг,июнь,21.7
405,Яйца куриные,10 штук,июнь,24.31
406,Масло сливочное,1 кг,июнь,141.03
407,Хлопковое масло,1 кг,июнь,48.44
408,Подсолнечное масло,1 кг,июнь,56.85
409,Яблоки,1 кг,июнь,43.69
410,Aбрикосы,1 кг,июнь,25.22
411,"Клубника, малина",1 кг,июнь,34.26
412,Вишня,1 кг,июнь,50.18
413,Виноград свежий,1 кг,июнь,135.0
