product,measure,year,month,cost
Рыба свежая и охлажденная,1 кг,2003,июнь,54.9
Рыба замороженная неразделанная,1 кг,2003,июнь,64.67
Сельдь соленая,1 кг,2003,июнь,71.43
"Кефир, айран",1 литр,2003,июнь,14.89
Сметана,1 литр,2003,июнь,68.5
Сливки,1 литр,2003,июнь,37.74
Творог жирный,1 кг,2003,июнь,43.69
Творог нежирный,1 кг,2003,июнь,21.7
Яйца куриные,10 штук,2003,июнь,24.31
Масло сливочное,1 кг,2003,июнь,141.03
Хлопковое масло,1 кг,2003,июнь,48.44
Подсолнечное масло,1 кг,2003,июнь,56.85
Яблоки,1 кг,2003,июнь,43.69
Aбрикосы,1 кг,2003,июнь,25.22
"Клубника, малина",1 кг,2003,июнь,34.26
Вишня,1 кг,2003,июнь,50.18
Виноград свежий,1 кг,2003,июнь,135.0
Aпельсины,1 кг,2003,июнь,71.88
Лимоны,1 кг,2003,июнь,92.12
Дыни,1 кг,2003,июнь,30.77
Aрбузы,1 кг,2003,июнь,20.02
Виноград сушеный,1 кг,2003,июнь,46.34
Яблоки сушеные,1 кг,2003,июнь,16.54
Курага,1 кг,2003,июнь,56.17
Орехи грецкие,1 кг,2003,июнь,49.31
Капуста свежая,1 кг,2003,июнь,6.56
Лук репчатый,1 кг,2003,июнь,11.37
Свекла,1 кг,2003,июнь,15.32
Морковь,1 кг,2003,июнь,16.97
Огурцы свежие,1 кг,2003,июнь,16.71
Тыква,1 кг,2003,июнь,7.79
Лук зеленый,1 кг,2003,июнь,14.3
Помидоры свежие,1 кг,2003,июнь,30.63
"Редиска, редька",1 кг,2003,июнь,7.86
Баклажаны,1 кг,2003,июнь,38.88
Горох,1 кг,2003,июнь,19.05
Чеснок,1 кг,2003,июнь,45.51
Томатная паста,1 кг,2003,июнь,42.52
Картофель,1 кг,2003,июнь,10.48
Сахар-песок,1 кг,2003,июнь,23.55
Мед пчелиный натуральный,1 кг,2003,июнь,93.93
Соль,1 кг,2003,июнь,4.68
Майонез,1 кг,2003,июнь,78.17
Дрожжи,50 гр.,2003,июнь,8.05
Кофе натуральный растворимый,100 гр.,2003,июнь,61.72
Чай черный байховый,100 гр.,2003,июнь,19.59
Вода минеральная,"0,5 л.",2003,июнь,5.08
Водка крепостью 40 градусов,"0,5 л.",2003,июнь,33.79
Коньяк отечественный,"0,5 л.",2003,июнь,116.27
Вино игристое отечественное,"0,7 л.",2003,июнь,91.22
Сигареты с фильтром,1 пачка,2003,июнь,21.67
Цемент,50 кг,2003,июнь,90.14
"Электроэнергия, основной тариф",1 кВт. час,2003,июнь,0.62
Природный газ,за 1 человека в месяц,2003,июнь,34.69
Сжиженный газ ,1 кг,2003,июнь,13.76
Уголь,1 тонна,2003,июнь,986.15
Бензин автомобильной марки А-92,1 литр,2003,июнь,14.03
Бензин автомобильной марки А-80,1 литр,2003,июнь,11.06
Дизельное топливо,1 литр,2003,июнь,9.77
Рис среднезерный,1 кг,2003,июль,23.19
Рис длиннозерный,1 кг,2003,июль,24.94
Мука пшеничная высшего сорта,1 кг,2003,июль,13.09
Мука пшеничная первого сорта,1 кг,2003,июль,10.04
Крупа манная,1 кг,2003,июль,19.95
Пшено,1 кг,2003,июль,18.8
Хлеб из пшеничной муки 1 сорта,1 кг,2003,июль,12.6
Лепешка,1 кг,2003,июль,13.78
Макаронные изделия,1 кг,2003,июль,18.92
"Вермишель, лапша",1 кг,2003,июль,14.83
Говядина,1 кг,2003,июль,87.56
Свинина,1 кг,2003,июль,88.71
Баранина,1 кг,2003,июль,109.61
Конина,1 кг,2003,июль,86.66
Колбаса вареная,1 кг,2003,июль,106.66
Колбаса полукопченая,1 кг,2003,июль,121.43
"Сосиски, сардельки",1 кг,2003,июль,104.68
Рыба свежая и охлажденная,1 кг,2003,июль,54.26
Рыба замороженная неразделанная,1 кг,2003,июль,64.67
Сельдь соленая,1 кг,2003,июль,71.55
"Кефир, айран",1 литр,2003,июль,14.82
Сметана,1 литр,2003,июль,68.23
Сливки,1 литр,2003,июль,37.74
Творог жирный,1 кг,2003,июль,38.81
Творог нежирный,1 кг,2003,июль,21.11
Яйца куриные,10 штук,2003,июль,24.21
Масло сливочное,1 кг,2003,июль,140.73
Хлопковое масло,1 кг,2003,июль,48.64
Подсолнечное масло,1 кг,2003,июль,56.93
Яблоки,1 кг,2003,июль,22.2
Aбрикосы,1 кг,2003,июль,19.8
"Клубника, малина",1 кг,2003,июль,34.23
Вишня,1 кг,2003,июль,53.04
Виноград свежий,1 кг,2003,июль,42.95
Aпельсины,1 кг,2003,июль,71.88
Лимоны,1 кг,2003,июль,84.43
Дыни,1 кг,2003,июль,21.2
Aрбузы,1 кг,2003,июль,7.66
Виноград сушеный,1 кг,2003,июль,46.34
Яблоки сушеные,1 кг,2003,июль,16.52
Курага,1 кг,2003,июль,56.7
Орехи грецкие,1 кг,2003,июль,49.69
Капуста свежая,1 кг,2003,июль,4.41
Лук репчатый,1 кг,2003,июль,5.95
Свекла,1 кг,2003,июль,16.62
Морковь,1 кг,2003,июль,13.55
Огурцы свежие,1 кг,2003,июль,5.01
Тыква,1 кг,2003,июль,7.79
Лук зеленый,1 кг,2003,июль,13.47
Помидоры свежие,1 кг,2003,июль,16.86
"Редиска, редька",1 кг,2003,июль,7.64
Баклажаны,1 кг,2003,июль,15.6
Горох,1 кг,2003,июль,18.82
Чеснок,1 кг,2003,июль,35.83
Томатная паста,1 кг,2003,июль,43.03
Картофель,1 кг,2003,июль,7.14
Сахар-песок,1 кг,2003,июль,23.44
Мед пчелиный натуральный,1 кг,2003,июль,93.62
Соль,1 кг,2003,июль,4.68
Майонез,1 кг,2003,июль,78.17
Дрожжи,50 гр.,2003,июль,8.07
Кофе натуральный растворимый,100 гр.,2003,июль,61.46
Чай черный байховый,100 гр.,2003,июль,19.58
Вода минеральная,"0,5 л.",2003,июль,5.07
Водка крепостью 40 градусов,"0,5 л.",2003,июль,33.58
Коньяк отечественный,"0,5 л.",2003,июль,116.27
Вино игристое отечественное,"0,7 л.",2003,июль,91.22
Сигареты с фильтром,1 пачка,2003,июль,21.68
Цемент,50 кг,2003,июль,90.92
"Электроэнергия, основной тариф",1 кВт. час,2003,июль,0.62
Природный газ,за 1 человека в месяц,2003,июль,37.71
Сжиженный газ ,1 кг,2003,июль,14.17
Уголь,1 тонна,2003,июль,985.83
Бензин автомобильной марки А-92,1 литр,2003,июль,13.62
Бензин автомобильной марки А-80,1 литр,2003,июль,10.55
Дизельное топливо,1 литр,2003,июль,9.62
Рис среднезерный,1 кг,2003,август,23.12
Рис длиннозерный,1 кг,2003,август,24.69
Мука пшеничная высшего сорта,1 кг,2003,август,13.16
Мука пшеничная первого сорта,1 кг,2003,август,10.06
